Samples	Lontitude	Latitude	Time [hours since sample 1]	Temperature [°C]	Salinity [g/kg]	Density [kg/m3]	Chl [µg/m3]	CDOM [ppb]	Attenuation [1/m]
F001	-81.81666733	24.433385	0	24.2489	36.3814	1024.613186	762.68	85.37	0.250472365
F002	-81.83203283	24.4102795	0.366666667	24.2411	36.3832	1024.61689	744.49	84.65	0.038859392
F003	-81.837912	24.403154	0.5	24.2381	36.3877	1024.621198	751.22	84.22	0.036293793
F004	-81.88886583	24.344404	1.55	23.9713	36.4129	1024.720035	779.36	84.1	0.031400397
F005	-81.891348	24.34151267	1.6	23.9621	36.4162	1024.725276	773.75	84.33	0.031769804
F006	-81.893763	24.33851833	1.65	23.9627	36.4133	1024.722899	783.2	84.87	0.03170288
F007	-81.89828	24.3334365	1.733333333	23.9573	36.4181	1024.728145	784.08	84.63	0.030747326
F008	-81.8993975	24.33017083	1.783333333	24.0028	36.4327	1024.72565	787.19	84.57	0.02950839
F009	-82.09898533	24.33678167	12.18333333	23.9731	36.4151	1024.721166	833.53	85.02	0.016724021
F010	-82.09898533	24.33678167	12.18333333	23.9731	36.4151	1024.721166	833.53	85.02	0.016724021
F011	-82.09907133	24.34715783	12.31666667	23.9871	36.4177	1024.718965	822.53	83.92	0.016022678
F012	-82.10011433	24.3549385	12.41666667	24.0023	36.4194	1024.715722	819.51	83.78	0.015092189
F013	-82.11304	24.40621833	28.2	23.9875	36.4342	1024.731348	825.44	83.55	0.01573471
F014	-82.114997	24.408227	28.23333333	23.9872	36.4339	1024.73121	819.93	83.47	0.0158067
F015	-82.12133567	24.41582733	28.35	24.0023	36.4278	1024.722087	827.39	83.3	0.016580009
F016	-82.12344283	24.41741483	28.38333333	24.0043	36.4277	1024.721415	827.34	83.58	0.016761358
F017	-82.2342025	24.42550733	30.78333333	24.0056	36.4318	1024.724134	829.98	83.43	0.014457767
F018	-82.23623383	24.42593167	30.86666667	24.0042	36.4319	1024.724627	829.64	83.3	0.015718712
F019	-82.23788983	24.426201	30.93333333	24.0044	36.431	1024.723885	830.1	83.42	0.01789231
F020	-82.2379115	24.42648517	31.01666667	24.0059	36.4301	1024.722756	818.44	83.62	0.01823646
F021	-82.225519	24.432224	31.28333333	24.0121	36.4267	1024.718331	818.64	83.48	0.022438012
F022	-82.1971465	24.4401745	31.91666667	24.0387	36.4245	1024.708729	800.75	82.98	0.017268113
F023	-82.19958333	24.4165265	32.36666667	24.0272	36.4374	1024.721934	800.12	83.28	0.014577713
F024	-82.19516533	24.40610717	32.65	24.0165	36.4368	1024.724672	835.8	83.43	0.018047041
F025	-82.1928695	24.39570067	32.91666667	24.0132	36.4365	1024.725429	841.32	83.23	0.015305462
F026	-82.1947325	24.38410983	33.16666667	24.0195	36.4316	1024.719837	833.19	82.78	0.015564072
F027	-82.19529117	24.38064733	33.23333333	24.0224	36.4288	1024.71685	829.73	83.08	0.015444096
F028	-82.19565567	24.37790067	33.28333333	24.0226	36.4268	1024.715275	836.19	83.38	0.015334788
F029	-82.1996245	24.36602933	33.51666667	24.0151	36.4192	1024.711754	820.05	83.85	0.015793368
F030	-82.2154685	24.35818333	34.31666667	24.0277	36.4238	1024.711481	807.12	83.83	0.01333045
F031	-82.24294817	24.35056633	37	24.2943	36.3906	1024.606525	822.17	83.53	0.021500689
F032	-82.23722	24.34123333	37.15	24.3759	36.3897	1024.581308	826.49	83.35	0.022683729
F033	-82.231626	24.33029333	37.31666667	24.407	36.3894	1024.571716	812.95	83.3	0.025376916
F034	-82.22787	24.3234755	37.41666667	24.4506	36.3893	1024.558498	820.15	83.08	0.024409511
F035	-82.22422967	24.3162425	37.51666667	24.4699	36.3873	1024.551162	829.59	82.95	0.024837065
F036	-82.2188215	24.30552083	37.66666667	24.4974	36.3872	1024.542786	824.17	83.12	0.0247275
F037	-82.21596633	24.29926883	37.75	24.4741	36.3854	1024.548456	821.66	83.22	0.024241175
F038	-82.21369517	24.293219	37.83333333	24.4601	36.3858	1024.552983	808.75	82.75	0.02431599
F039	-82.2562325	24.2853215	40.41666667	24.3272	36.3695	1024.580661	861.32	83.52	0.027537051
F040	-82.25101717	24.27639517	40.56666667	24.311	36.3664	1024.583182	876.41	83.67	0.026018418
F041	-82.247082	24.26946917	40.7	24.5114	36.3775	1024.531215	858.98	82.82	0.026245642
F042	-82.24227583	24.26158833	40.88333333	24.4839	36.3753	1024.537852	857.49	82.93	0.023728192
F043	-82.23683917	24.25498067	41.08333333	24.5624	36.3739	1024.513075	880.64	82.62	0.024746206
F044	-82.23025033	24.247581	41.26666667	24.536	36.372	1024.519619	887.39	82.38	0.028170876
F045	-82.223559	24.23867767	41.48333333	24.6367	36.3687	1024.486647	867.08	82.28	0.029361241
F046	-82.223559	24.23867767	41.48333333	24.6367	36.3687	1024.486647	867.08	82.28	0.029361241
F047	-82.21587333	24.23050583	41.71666667	24.689	36.3651	1024.468065	870.58	82.93	0.026946106
F048	-82.21591817	24.22307467	42.06666667	24.7304	36.3632	1024.45406	840.07	82.48	0.029101738
F049	-82.21728517	24.22318867	42.11666667	24.7249	36.363	1024.455579	837.19	83.2	0.029540495
F050	-82.218065	24.22328833	42.15	24.72	36.3633	1024.457294	837.56	82.53	0.028681753
F051	-82.2194675	24.22325583	42.2	24.7245	36.3635	1024.456079	830.83	82.72	0.027927497
F052	-82.2787185	24.2156295	44.86666667	24.6269	36.3675	1024.488708	829.1	83.13	0.025858033
F053	-82.276	24.20782033	45.08333333	24.6638	36.3658	1024.476238	842.61	82.85	0.028633605
F054	-82.27090683	24.2015405	45.25	24.6989	36.3642	1024.46438	841.95	83.32	0.029101738
F055	-82.26327683	24.19444217	45.5	24.7517	36.363	1024.447437	835.83	83.38	0.029396021
F056	-82.25161333	24.18693767	45.83333333	24.7639	36.3617	1024.442746	835.32	82.9	0.035361256
F057	-82.24214983	24.1782845	46.1	24.7659	36.3659	1024.445316	836.15	83.02	0.029460231
F058	-82.23486233	24.16458967	46.36666667	24.7808	36.3664	1024.441163	839.59	82.97	0.026039804
F059	-82.2338565	24.16263017	46.4	24.7733	36.3664	1024.443444	841.2	82.58	0.026617247
F060	-82.23287083	24.16087017	46.43333333	24.7639	36.3665	1024.446378	842.64	83.05	0.027074449
F061	-82.23176017	24.15961283	46.46666667	24.7478	36.3657	1024.450666	842.69	83.22	0.027058406
F062	-82.22962133	24.1579985	46.51666667	24.7283	36.3651	1024.456135	845.05	82.93	0.027162686
F063	-82.2277025	24.15878267	46.55	24.7285	36.3659	1024.45668	856.93	83.1	0.028794102
F064	-82.2646155	24.15045717	48.75	24.5287	36.3907	1024.53598	843.07	83.2	0.025989014
F065	-82.26293683	24.14101167	48.88333333	24.5431	36.3877	1024.529357	843.88	83.23	0.026865894
F066	-82.2614025	24.13239283	49	24.5345	36.3834	1024.528701	844.61	83.1	0.025133707
F067	-82.2599565	24.12552567	49.1	24.5464	36.384	1024.525559	842.86	83.02	0.025553319
F068	-82.259413	24.11673183	49.21666667	24.5897	36.3855	1024.513596	851.51	82.98	0.025863379
F069	-82.2570355	24.109947	49.33333333	24.6285	36.3843	1024.500939	842.93	83.07	0.025804573
F070	-82.23182233	24.10190533	49.71666667	24.6419	36.377	1024.491353	839.92	82.97	0.02828321
F071	-82.22156317	24.09578867	49.95	24.8098	36.3616	1024.428709	820.93	82.52	0.028877027
F072	-82.22156317	24.09578867	49.95	24.8098	36.3616	1024.428709	820.93	82.52	0.028877027
F073	-82.22961933	24.09598783	50.65	24.8584	36.3548	1024.408765	821.47	82.48	0.013319792
F074	-82.23069383	24.09681583	50.7	24.8553	36.3555	1024.410239	826.46	82.13	0.013655554
F075	-82.23166333	24.09759117	50.75	24.8524	36.3556	1024.411198	823.95	82.2	0.013812786
F076	-82.232586	24.09836617	50.8	24.8497	36.3562	1024.412474	823.76	82.43	0.013834106
F077	-82.24076283	24.08045	56.56666667	24.5195	36.3845	1024.534067	802.56	83.32	0.013087972
F078	-82.237188	24.07372083	56.7	24.4742	36.3911	1024.552741	805.56	83.17	0.012933434
F079	-82.2332255	24.06678467	56.83333333	24.432	36.3982	1024.570845	800.49	83.15	0.014076629
F080	-82.22705267	24.05682133	57.03333333	24.3019	36.4144	1024.622266	804.02	83.75	0.014041982
F081	-82.22410967	24.05001583	57.16666667	24.1934	36.4213	1024.660046	795.61	83.85	0.014457767
F082	-82.22163333	24.0423565	57.3	24.1049	36.4286	1024.692063	804.47	84.05	0.013687533
F083	-82.21971133	24.03284017	57.48333333	24.063	36.4283	1024.704354	827.07	83.45	0.017406815
F084	-82.220524	24.02043317	58.06666667	24.1391	36.4273	1024.68085	815.76	83.22	0.012936098
F085	-82.220524	24.02043317	58.06666667	24.1391	36.4273	1024.68085	815.76	83.22	0.012936098
F086	-82.25115167	24.01551733	60.41666667	24.321	36.4331	1024.630687	788.69	82.73	0.018055044
F087	-82.24913933	24.00791583	60.53333333	24.3832	36.4275	1024.607732	795.47	82.62	0.019303781
F088	-82.24787583	23.99819117	60.65	24.4126	36.4238	1024.596074	798.83	82.6	0.019092963
F089	-82.2470805	23.9911995	60.73333333	24.4088	36.4231	1024.596689	784.95	82.48	0.018650013
F090	-82.243205	23.98295717	60.85	24.3793	36.4152	1024.599593	791.63	82.93	0.021076162
F091	-82.24134283	23.974954	60.95	24.2999	36.4119	1024.620974	791.32	83.28	0.021236356
F092	-82.238757	23.96644383	61.08333333	24.2831	36.418	1024.63064	797.92	83.8	0.018071051
F093	-82.22849783	23.96287717	62.91666667	24.3802	36.426	1024.607499	817.97	83.07	0.013322456
F094	-82.22871833	23.963252	62.96666667	24.3637	36.4261	1024.612542	814.27	83.25	0.012762915
F095	-82.22905417	23.963713	63.03333333	24.3621	36.4264	1024.613251	811.1	82.75	0.01319189
F096	-82.2293045	23.96403733	63.08333333	24.3583	36.4258	1024.61394	830.86	83.28	0.013370421
F097	-82.22907767	23.94804833	65.08333333	24.4054	36.4361	1024.607557	824.39	83.1	0.013834106
F098	-82.22284217	23.93703367	65.26666667	24.4269	36.4453	1024.608043	819.83	82.8	0.01680403
F099	-82.217106	23.92855967	65.48333333	24.4292	36.4501	1024.610984	846.83	82.78	0.01496423
F100	-82.2100075	23.9204645	65.81666667	24.4189	36.4531	1024.61636	807.92	82.82	0.018666023
