OTU	taxonomy	F001	F009	F010	F012	F015	F016	F023	F025	F028	F029	F033	F037	F040	F041	F042	F043	F044	F046	F047	F048	F051	F052	F053	F060	F062	F067	F069	F071	F072	F075	F076	F078	F080	F084	F085	F087	F094	F095	F096	F097	F098	F099	F100	F101	F102	F103	F104	F105	F106	F107	F108	F109	F110	F111	F112	F113	F122	F124	F127	F134	F135	F141	F143	F145	unknown
86cd70d2450e3f44f4a7c543f53008ee	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Synechococcales; D_4__Cyanobiaceae; D_5__Prochlorococcus MIT9313	0	0.000839352	0.078488372	0.149466192	0.002631392	0	0	0.002901985	0.111282844	0	0	0	0.316239316	0	0	0	0.008076969	0.014225715	0	0	0.262626263	0	0	0	0	0	0.001339809	0.198529412	0.514705882	0	0	0	0.003143635	0	0.151685393	0.002958153	0	0	0	0	0.315789474	0.003350594	0.333333333	0	0.003109211	0.037313433	0	0.134969325	0	0	0	0	0	0	0	1	1	0.054878049	0	0	0.192307692	0.265822785	0	0	0
e9f376c867c2a1506d5b0996f9839a20	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Synechococcales; D_4__Cyanobiaceae; D_5__Prochlorococcus MIT9313	0.601444258	0.608374	0.648255814	0.629893238	0.705995306	0.580677403	0.535202	0.681894029	0.573415765	0.684766636	0.633760646	0.694520044	0.538461538	0.33771822	0.654234513	0.656461289	0.531535812	0.677550467	0.589306734	0.611823336	0.575757576	0.627046822	0.605145841	0.607915096	0.685680333	0.684586658	0.583821805	0.698529412	0.485294118	0.62710859	0.644481833	0.727972808	0.523334198	0.601267549	0.696629213	0.577994228	0.836065574	0.65853512	0.682010923	0.646859606	0.548245614	0.656868718	0.666666667	0.661978383	0.693159736	0.764925373	0.603948211	0.644171779	0.786206897	0.681853201	0.626512689	0.728919361	0.828358209	1	1	0	0	0.823170732	0.722086787	0.624500159	0.807692308	0.556962025	0.670900528	0.710323737	0.876404494
4cab0df7abb88b31989680d38a6e8df1	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Synechococcales; D_4__Cyanobiaceae; D_5__Synechococcus CC9902	0.194875853	0.166445442	0.122093023	0.170818505	0.073465614	0.194160984	0.242531912	0.084496143	0.136012365	0.090476524	0.131013633	0.084516366	0.145299145	0.376137202	0.119303193	0.114417675	0.215702578	0.097276792	0.186047952	0.153262793	0.161616162	0.157729532	0.177251306	0.194604245	0.140819964	0.086590903	0.188645118	0	0	0.161791421	0.136279807	0.046630198	0.228156598	0.150657909	0.151685393	0.187265512	0.163934426	0.099741633	0.064859731	0.114326765	0.135964912	0.126561072	0	0.102284854	0.102992616	0.197761194	0.166642052	0.220858896	0.213793103	0.127118644	0.171288293	0.060120753	0.171641791	0	0	0	0	0.12195122	0.075572891	0.164265313	0	0.17721519	0.117882118	0.086997786	0.123595506
d089e76cb77366eba904ed413876e849	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Synechococcales; D_4__Cyanobiaceae; D_5__Prochlorococcus MIT9313	0.098526066	0.113058755	0.151162791	0	0.126342365	0.102497139	0.097381234	0.115281372	0.122102009	0.118571129	0.116362896	0.126590658	0	0.077022375	0.118575457	0.118941053	0.106069604	0.125321772	0.103711046	0.113322018	0	0.108972012	0.099834416	0.100277723	0.112893642	0.127159399	0.100050243	0	0	0.113038965	0.116510823	0.133942323	0.114143116	0.133512413	0	0.11962482	0	0.134831461	0.147291292	0.140599343	0	0.160371611	0	0.122260227	0.17314419	0	0.119824743	0	0	0.102220199	0.099439873	0.118501842	0	0	0	0	0	0	0.110271412	0.103903523	0	0	0.100756386	0.109406306	0
f7b6a808234394e3ac9ebc0f3232bba1	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Synechococcales; D_4__Cyanobiaceae; D_5__Prochlorococcus MIT9313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.102941176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
e94c43a6a4852fa204461351fbaaa24a	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Synechococcales; D_4__Cyanobiaceae; D_5__Synechococcus CC9902; Ambiguous_taxa	0	0	0	0.049822064	0.000284475	0	0	0.00067713	0.057187017	0	0	0	0	0	0	0	0.003563369	0	0	0	0	0	0.000356642	0	0	0	0	0	0	0	0	0	0	0	0	0.001118326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
44369269b45b7e1a562a501cea30045e	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Synechococcales; D_4__Cyanobiaceae; D_5__Prochlorococcus MIT9313	0.019883272	0.028479407	0	0	0.040573217	0.032467637	0.027898408	0.035646055	0	0.035196977	0.033429261	0.031187937	0	0.015859356	0.03675066	0.03228264	0.024587243	0.031161089	0.030481383	0.028565238	0	0.03274915	0.027818112	0.027375521	0	0.031944333	0.028571429	0	0	0.031550069	0.032063934	0.036804929	0.025570391	0.028960567	0	0.028282828	0	0.032145647	0.034465213	0.034688013	0	0.025738654	0	0.035435764	0	0	0.030768473	0	0	0.031341925	0.026346726	0.030597626	0	0	0	0	0	0	0.033885909	0.027737226	0	0	0.03030303	0.029790151	0
7a1011dfbc8b253cb0032a00e74454e9	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Synechococcales; D_4__Cyanobiaceae; D_5__Prochlorococcus MIT9313; Ambiguous_taxa	0.009298645	0.004626196	0	0	0.007503023	0.004513872	0.005559942	0.005634688	0	0.006192709	0.005842853	0.012431041	0	0.004794689	0.006322205	0.00728502	0.006889179	0.009619293	0.00799207	0.005561374	0	0.007533351	0.00427971	0.00729022	0.036244801	0.006850971	0.004722827	0	0	0.005709413	0.004465008	0.005470285	0.005898367	0.00421817	0	0.003499278	0	0.008171604	0.00539367	0.008825944	0	0	0	0.004077165	0	0	0.006153695	0	0	0.005673063	0.004909757	0.008288989	0	0	0	0	0	0	0.005607021	0.003617899	0	0	0.003615432	0.003901719	0
e2f51f019e9a31b9c3c93e93a2e4b0cb	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Synechococcales; D_4__Cyanobiaceae; D_5__Synechococcus CC9902	0.012661984	0.003747804	0	0	0.002915867	0.004949138	0.011777866	0.006843849	0	0.006122735	0.01052295	0.005443178	0	0.034116056	0.004366415	0.00876107	0.016866611	0	0.014373335	0.013650645	0	0.010986137	0.007209273	0.0052073	0	0.003519519	0.008876235	0	0	0.005635265	0.007215194	0	0.010694841	0.003315775	0	0.00487013	0	0.006369044	0.003527935	0.006465517	0	0	0	0.004788617	0	0	0.004726038	0	0	0.002871551	0.009404605	0	0	0	0	0	0	0	0.004713148	0.008314821	0	0	0.003520289	0.0042708	0
b7cc4a2a1497d150d66b6c791f150f3c	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Synechococcales; D_4__Cyanobiaceae	0.011178158	0.004001562	0	0	0.001742408	0.003675582	0.009211738	0.003651665	0	0.004338395	0.007993954	0.005222508	0	0.031165478	0.008050578	0.007475479	0.022449222	0.007858014	0.01276253	0.01487848	0	0.01208475	0.009298179	0.007042254	0.005941771	0.004137449	0.006933512	0	0	0.003299596	0.002200149	0.000371767	0.007097485	0.004428029	0	0.004978355	0	0.004085802	0.00206927	0.003797209	0	0.014316174	0	0.003283623	0	0	0.005809088	0	0	0.002801513	0.006016181	0	0	0	0	0	0	0	0.003331708	0.005649	0	0	0.006279435	0.004428978	0
