OTU	F059	F067	F075	F076	F080	F095	F096	F100	F104	F105	F106	F107	F109	F111	F135	F141	F143	F145	F60	F69	F78	F79	F87
86cd70d2450e3f44f4a7c543f53008ee	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ffff43da189c8f5c5a5226237adf1b23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0
34f1cadaab104aa231c079cbc0ef050b	0	0	0	0	11	7	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	6
7d7ff1c54289c9daff337b733aa9b344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0
333b8b54e88aa3353756fea6269cab32	40	48	0	35	93	49	36	74	32	56	0	0	0	0	0	21	0	0	134	148	15	0	46
0e4a95f50009ede9d68b1ec4f2c67684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0
e2f51f019e9a31b9c3c93e93a2e4b0cb	217	215	142	182	520	105	135	358	159	292	271	62	0	71	99	54	46	0	260	459	0	0	197
4f47b02c9c587975462932dce3a67c93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0
8a7770a79bae52153ac364cdd371475d	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
fa8f56301d871fa3b051479131fd3e4c	44	0	32	25	24	0	0	0	0	22	0	24	36	0	0	19	0	0	47	36	0	0	0
695bea8ab774f7c1399165d4ed57ee83	0	0	0	0	3	0	0	0	0	0	0	6	0	0	0	0	0	0	1	0	5	0	0
1b3de43da43a9830fdeab8bb23a7c161	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12265c6aca2928c2bc9fe71988816516	55	0	22	31	181	39	36	40	160	160	99	14	81	18	4	0	39	0	0	96	18	0	58
5cadb906e927ec37f15cd2b07b7d9da3	363	451	131	186	320	229	334	149	230	114	294	133	238	171	144	178	0	0	335	202	394	0	245
ec69580241158aad3f12477e91f7f503	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
7a1011dfbc8b253cb0032a00e74454e9	280	260	139	125	241	187	267	210	95	57	151	95	164	114	66	89	0	48	229	208	242	0	158
