OTU	Kingdom	Supergroup	Phylum	Class	Order	Family	Genus	Species
7db4a8eeaed71a06a5c3a03bcc961805	 Eukaryota	  Hacrobia	  Haptophyta	  Prymnesiophyceae	  Prymnesiales	  Chrysochromulinaceae	  Chrysochromulina	  Chrysochromulina_sp.
2dc9893d03a8346f1297aea6cb2f5aeb	 Eukaryota	  Alveolata	  Dinoflagellata	  Syndiniales	  Dino-Group-II	  Dino-Group-II-Clade-3	  Dino-Group-II-Clade-3_X	  Dino-Group-II-Clade-3_X_sp.
c7d075fcb149bb2d16692c591c31dbaa	 Eukaryota	  Stramenopiles	  Ochrophyta	  Bacillariophyta	  Bacillariophyta_X	  Radial-centric-basal-Coscinodiscophyceae	  Guinardia	  Guinardia_delicatula
af929627751f1e907663f70baeb187a2	 Eukaryota	  Alveolata	  Dinoflagellata	  Dinophyceae	  Gonyaulacales	  Gonyaulacaceae	  Lingulodinium	  Lingulodinium_polyedra
2759a409b16335274ac23f2e8d2ace4f	 Eukaryota	  Alveolata	  Dinoflagellata	  Syndiniales	  Dino-Group-II	  Dino-Group-II-Clade-10-and-11	  Dino-Group-II-Clade-10-and-11_X	  Dino-Group-II-Clade-10-and-11_X_sp.
90e3937677d6a95d9b07387149e2b337	 Eukaryota	  Rhizaria	  Cercozoa	  Filosa-Thecofilosea	  Cryomonadida	  Cryothecomonas-lineage	  Cryothecomonas	
57b9ac6676c65fc8df0312e05da611d6	 Eukaryota	  Alveolata	  Dinoflagellata	  Dinophyceae				
bef50bcad8ba36c18bdda8db0aaee5ba	 Eukaryota	  Alveolata	  Dinoflagellata	  Dinophyceae	  Gymnodiniales	  Gymnodiniaceae	  Gymnodinium	
86677fd2345984950650419cddfdd4a6	 Eukaryota	  Rhizaria	  Radiolaria	  RAD-B	  RAD-B_X	  RAD-B-Group-IV	  Spumellarian	  Spumellarian_radiolarian
19b0e197126c4bf611a4ed3d4a5a601e	 Eukaryota	  Alveolata	  Dinoflagellata	  Syndiniales	  Dino-Group-I	  Dino-Group-I-Clade-5	  Dino-Group-I-Clade-5_X	  Dino-Group-I-Clade-5_X_sp.
dfee75f74b0f472dba72e3ba6b8d357e	 Eukaryota	  Alveolata	  Ciliophora	  Phyllopharyngea	  Suctoria	  Suctoria_X	  Suctoria_XX	  Suctoria_XX_sp.
7f53df3b72f6cf52124f0b62d4a55672	 Eukaryota	  Stramenopiles	  Ochrophyta	  Bacillariophyta	  Bacillariophyta_X	  Radial-centric-basal-Coscinodiscophyceae	  Leptocylindrus	  Leptocylindrus_convexus
